"Reason codes explain a change in the anticipated timing of a delivery. Acceptable delays (AD codes) are unforeseeable delays that are beyond GHSC-PSM’s manageable control. They are considered acceptable reasons to change the Agreed Delivery Date (ADD), with USAID mission or COR approval. Unacceptable delays (UD codes) are foreseeable or within GHSC-PSM’s manageable control. They are not valid reasons to change a delivery commitment (i.e. the ADD), but may be used when updating the Estimated Delivery Date (EDD). Supplier delays (SD codes) are an additional set of codes used to explain changes in supplier goods availability or delivery timelines. ",,
"Multiple reason codes may be applied to an order line item during its life cycle. In these cases, only the most recently applied reason codes will be listed in the accompanying USAID GHSC-PSM Health Commodity Delivery Dataset.",,
,,
Code,Name ,Definition
UD100,QA Delay (TO2),"Delay in conducting QA for TO2 products. For QA delays on TO1, TO3, & TO4, see UD090 and/or AD040. "
UD110,Shipped without pre-alert,"For C- or D-incoterms, vendor did not alert GHSC-PSM that goods were shipped to country, causing in-country delays. "
UD120,3PL delays/errors on shipping docs,3PL is late preparing shipping documents and/or does so incorrectly 
UD130,Waiver/product registration delay,Delay in obtaining waiver and/or import documents. 
UD140,Delay in picking up shipment,Delay in picking up goods from the supplier after the goods were available. 
UD150,Delay in booking flight/ship/truck,Unable to book confirmed transport. 
UD160,Transit delay,"Missed flight, truck, port congestion. If caused by natural disasters, civil unrest, etc., please reference the appropriate acceptable delay code. "
UD170,Customs clearance delay,Import/clearing agent did not process the customs clearance in the standard lead time. 
UD180,System error,"ARTMIS or LMIS was not updating, generated errors, or restricted an order from proceeding. "
UD190,Payment or credit delays,Vendor refused to ship/release goods because GHSC-PSM is on credit-hold or prepayment/invoices haven't been paid. 
UD200,Insufficient lead time calculated,GHSC-PSM did not calculate sufficient lead time to ensure on-time delivery. 
UD210,Other internal delay,Other internal delay
UD990,GAD was earlier than expected,Vendor made goods available before GAD.
UD980,Waiver secured faster than normal,Waiver was obtained earlier than the standard lead time..
UD970,Transit time shorter than expected,Transit time was shorter than the standard lead time.
UD960,Internal processes expedited,Internal processes moved faster than expected.
UD000,EDD changed to match ADD,The ADD was changed due to an acceptable delay. The EDD was changed to match it. 
SD000,No delay,No delay registered.
SD001,Revised GAD or Supplier Delivery Date accepted by PSM ,The revised GAD or Supplier Delivery Date was accepted by GHSC-PSM. Includes requests from country/Mission to delay or advance orders. 
SD002,Force Majeure,"Extraordinary event, such hurricane, volcano, earthquake, etc."
SD003,Security Incident,"Extraordinary event, such as political/civil unrest, violent conflict, cyber-attack, pandemic, curfew, port strikes, etc."
SD004,Incorrect INCO pickup or delivery location ,"Based on supplier INCO term, supplier provided incorrect pickup location or delivered goods to wrong location"
SD005,Incorrect/Delayed Shipping Doc,"Documents provided by the supplier were late, incomplete, and/or contained errors  "
SD007,Supplier Production Capacity Issue,Supplier delay due to production capacity issues 
SD008,Supplier Packaging Delays,Supplier delay due to packaging issues/delays
SD009,Product Released to other Buyer,Supplier released the order to another buyer
SD010,Incorrect/insufficient lead times,"Supplier quoted insufficient/incorrect lead times, including early release or delivery of goods not requested or previously approved by GHSC-PSM"
SD011,Product Shortage (incl Yield Loss),Short shipment (including due to production yield loss)
SD014,Shelf-life Below Requirements,Delay due to supplier offering product with shelf-life below the required level thereby necessitating fresher product and prolonged timelines
SD015,Global Supply Shortage (API/KSM),Global supply shortage of API/KSM that affects the availability of finished product
SD016,Product Allocated to another PSM order,Product re-allocated to a different GHSC-PSM order per GHSC-PSM’s request
SD017,Credit Hold,Supplier refused to ship or release goods because GHSC-PSM is on credit-hold or prepayment/invoices haven't been paid
SD018,Other/Unknown Delay,Reason for supplier delay is unknown or rationale not captured by available Supplier Delay Reason Codes
SD019,API/KSM Supply Shortage,"API/KSM supply shortage other than global shortage (e.g. poor planning, cash flow issues, reformulation delays)"
SD020,Security Incident COVID-19,"Supply chain delays due to COVID-19 (API/KSM/PM, FP, logistics, etc.)"
SD021,QA Failure/ Unacceptable Delay,"Delay due to supplier QA incident/failure (e.g. Out of Specification, produce non-compliance) or delay in conducting QA"
SD022,QA Acceptable Delay,Delay because QA testing was not conducted within the standard lead time
SD023,Waiver/Import Permit Delay,Waiver or import permit not obtained within the standard lead time
SD024,Shipped without Pre-alert,"Supplier did not alert GHSC-PSM that goods were shipped, causing in-country delays "
SD025,Transit Delay,"Supplier 3PL transit delays (e.g. missed flight, trucking delay, port congestion not related to security incident)"
SD012,Supplier QA Failure,"Delay due to supplier QA incident/failure (e.g. Out of Specification, produce non-compliance). Use of this code was retired in March 2021 and consolidated with SD013 into the new code SD021."
SD013,Supplier QA Delay,Delay due to supplier delay in conducting QA. Use of this code was retired in March 2021 and consolidated with SD012 into the new code SD021.
SD006,Product Non-compliant to Spec (e.g. OOS) ,Delay due to product non-compliance. Use of this code was retired in December 2021 and consolidated into code SD021. 
